Name,Activity name,Activity code,Amount
DHN_COGEN_WASTE_CC,"treatment of waste wire plastic, municipal incineration",2jp4jgm6aki037ddudba6y4iaqat36y7,0.0002433077833355358
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration",dph7g10oy2iimedbi8cov8452fegjq02,4.327561580329696e-06
DHN_COGEN_WASTE_CC,"treatment of residue from mechanical treatment, laser printer, municipal incineration",ohs48qszeynny2vuhwema2e23noyn16n,0.0003085892768496114
DHN_COGEN_WASTE_CC,"treatment of waste building wood, chrome preserved, municipal incineration",ts7oasxkdy21xav58qlta4gouksjh7ia,0.0009529835823144692
DHN_COGEN_WASTE_CC,"treatment of waste bitumen sheet, municipal incineration",khe93j8kygheercozb8uf5xnuwwvp68d,0.005279233372988365
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from particle board production, municipal incineration",sn2m0bxqqh4hp4miz54zkqjtfexedvcw,1.932304204860208e-08
DHN_COGEN_WASTE_CC,"treatment of waste polyethylene, municipal incineration",9jgftelcstgn30l06vlpo83emr3kfci8,0.08400399415691528
DHN_COGEN_WASTE_CC,"treatment of waste graphical paper, municipal incineration",h7ahr3k5xv0100x3d11isauxtw5xci7n,0.1236802245579232
DHN_COGEN_WASTE_CC,"treatment of digester sludge, municipal incineration",cu2oxq9whlf8y3zmoxger52i6g0lgiyy,0.003369980952428378
DHN_COGEN_WASTE_CC,"treatment of waste sealing sheet, polyvinylchloride, municipal incineration",v4e6g01qfywofsxnzy6zlke2d96zll23,0.00087992986490036
