Name,Activity name,Activity code,Amount
CROPS_TO_JETFUELS,"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification",ib91lbwje4jw8cj2q45oth9y6dluouze,2.35
CROPS_TO_JETFUELS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",6lijkdz92mmb4z3sgqtpz5q519i9114s,0.29375
CROPS_TO_JETFUELS,"carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from wood gasification",29ktjphkewr9zcw9wd5wo590pjeoz4vo,2.05625
CUMENE_PROCESS,"cumene production, benzene alkylation",39hdn7mb8n2xgedk31gsbg7hpn153kpx,1.0
DAC_HT,"carbon dioxide, captured from atmosphere, with a sorbent-based direct air capture system, 100ktCO2",llsdm5mqtl2aazp97iaq2ogvig73ke9z,1.0
DAC_LT,"carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2",qpd2a0opvar8bvj8n38ayo0ax20wybnp,1.0
DEC_ADVCOGEN_H2,"electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",8jdovuglhszhis31nypjqpdnnxv9ldgw,1.0
DEC_BOILER_GAS,"heat production, natural gas, at boiler modulating <100kW",bhgkypnn6m072mvevi2vfj7a0vmmvhfn,1.0
DEC_BOILER_OIL,"heat production, light fuel oil, at boiler 10kW condensing, non-modulating",0x98lyjq6bbk4fqljf3ybemfd0ww2q60,1.0
DEC_BOILER_WOOD,"heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014",t8a0h2uiitpftheohc6bj07bgbj9xpyp,1.0
DEC_COGEN_GAS,"heat and power co-generation, natural gas, 50kW electrical, lean burn",tlioe34b1eshc2dy97cfvhph9641jww8,1.0
DEC_COGEN_OIL,"heat production, light fuel oil, at boiler 10kW condensing, non-modulating",kgew9ueeypdpni7hsvuvb8gviib1eel0,1.0
DEC_COGEN_WOOD,"heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014",data0wklfheatyjnux4uuto3jy52x8wa,1.0
DEC_DIRECT_ELEC,"market for electricity, low voltage",cesx0b5f0rlsofgfaopt2w4ppbfcbk0f,1.0
DEC_HP_ELEC,"heat production, air-water heat pump 10kW",l1lg9ll68q6vm957isz7ao3n058x18eh,1.0
DEC_THHP_GAS,"heat production, natural gas, at diffusion absorption heat pump 4kW, future",pvhff912omd8psxcl06l1fmqj3sa1beb,1.0
DEEP_SALINE,"carbon dioxide compression, transport and storage",gjjym1yr3uf1rmfdnnit65jwerlp8mzx,1.0
DHN_BOILER_GAS,"heat production, natural gas, at boiler modulating >100kW",mgcf575ey3crlttepw9r3bxma41xje29,1.0
DHN_BOILER_OIL,"heat production, light fuel oil, at industrial furnace 1MW",dni83wbakj0s38kekwj45xdye1ua9ee3,1.0
DHN_BOILER_WOOD,"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014",9nc53bjl4piflsotm1fooetf2kz2ln22,1.0
DHN_COGEN_GAS,"heat and power co-generation, natural gas, 1MW electrical, lean burn",lgzg11cou6gqrpc3qlviqvmjghbzx0ki,1.0
DHN_COGEN_WASTE,"treatment of spent anion exchange resin from potable water production, municipal incineration",v72adqns8clhv35npaqph19qskkzyqxf,1.44992176893731e-06
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, laptop computer, municipal incineration",ciqp8wokwv775sneli28pktna9l8b4ax,0.0002478552691769348
DHN_COGEN_WASTE,"treatment of waste cement-fibre slab, dismantled, municipal incineration",1szel0972oethyj4ov5flmc5656g3ucb,0.0006597139725959587
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration",pfff5zmqzflrevr1yfmrpu3m97y968di,0.0002254450273321832
DHN_COGEN_WASTE,"treatment of waste rubber, unspecified, municipal incineration",oz3wdz5ixsmxcp04mlefrtc4g8jtjebc,0.01062000304772941
DHN_COGEN_WASTE,"treatment of waste newspaper, municipal incineration",swdfo1z2j8bdo0eiwfs1z5e89c46quth,0.02776127715839601
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration",dakvf1dujqdo22ayb8wjzm1z2c3ztlp3,9.797174095635677e-13
DHN_COGEN_WASTE,"treatment of municipal solid waste, municipal incineration",etfoqw9mv3abekko112uwcqro9z5zkj2,0.04342031299761565
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, desktop computer, municipal incineration",7uiej5dsw1z63w01kumphxdvb1ismkzz,0.0008487718060174665
DHN_COGEN_WASTE,"treatment of spent cation exchange resin from potable water production, municipal incineration",aph5yvy7v2gbh5e9en8wp63xeh9i2epe,1.108255152108245e-07
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration",geo3gt11k56vjnp0n1ukf7fcg1gffv4d,6.165897727942606e-15
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration",ecy3z62bthegngxdkc13pgimowr04ttr,3.325775987079078e-06
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from LCD production, municipal incineration",1xid99fipnzqv380ghdjcvgjx3dnyewy,4.65802991646643e-12
DHN_COGEN_WASTE,"treatment of waste wood pole, chrome preserved, municipal incineration",h3ogow326r0ietrio2o2whiuo60txluu,0.00204100847421573
DHN_COGEN_WASTE,"treatment of waste textile, soiled, municipal incineration",d7gbmly1mgvq7arllz7bd76rmpx714ie,0.00926615080762631
